listing_id;built_area;used_area
331001;0;0
340083;400;400
396870;430;430
282457;261;0
282548;391;0
289107;336;336
299009;336;NULL
318658;336;0
343027;336;336
302968;396;0
332289;450;0
332908;770;450
282704;350;0
296264;324;NULL
328679;409;409
282808;300;NULL
282808;300;NULL
282808;300;NULL
282808;300;NULL
738721;262;0
738721;262;0
282837;508;0
359777;0;569
293167;693;500
293167;693;500
306302;632;0
329516;632;512
337118;632;632
337118;632;632
344358;0;512
348245;0;500
348245;0;500
348245;0;500
283008;420;0
302676;558;358
302676;558;358
317439;500;500
317439;500;500
317439;500;500
283015;286;0
300106;286;0
300979;280;NULL
340205;285;285
283794;700;0
290503;600;0
326166;700;NULL
328538;0;600
355866;0;600
283678;365;252
283678;365;252
287455;435;NULL
293170;435;306
333047;430;307
348768;0;306
348768;0;306
283080;498;0
283080;498;0
283080;498;0
292695;600;499
292695;600;499
301182;0;500
301182;0;500
285073;390;NULL
282639;550;0
290234;411;0
296864;0;550
360004;550;550
300990;360;NULL
330950;0;400
308249;0;300
283619;242;0
290376;350;0
307011;350;0
316203;0;300
334973;408;0
1126450;0;350
281617;990;0
281617;990;0
281617;990;0
281617;990;0
282880;990;0
282880;990;0
296131;990;NULL
296581;0;1300
296581;0;1300
361923;990;0
361923;990;0
316637;420;NULL
296572;0;2500
288000;1200;NULL
359758;0;1200
285865;870;0
279411;1130;1130
282759;1131;0
288057;1131;NULL
288564;1228.71;0
294190;1228;NULL
302353;1130;1000
337168;1000;1000
282975;500;0
337089;460;460
294582;780;NULL
304576;529;0
302721;193;0
304884;0;NULL
308805;300;300
323353;480;0
335202;450;0
335202;450;0
286079;230;0
333032;482;0
289576;700;0
327740;700;0
327794;585;0
327794;585;0
328027;700;NULL
328235;700;700
328235;700;700
329558;700;0
329558;700;0
329558;700;0
296569;450;450
286024;500;0
293431;602;537
285968;350;0
285968;350;0
287908;450;NULL
294674;450;0
302176;430;330
302176;430;330
302176;430;330
327693;392;314
327693;392;314
328229;400;0
328229;400;0
331582;350;400
339728;390;0
348418;0;400
538698;0;315
286174;655;0
294459;655;NULL
298984;655;NULL
302279;655;485
304370;475;NULL
308653;0;280
318667;655;0
336799;280;280
336799;280;280
287487;336;NULL
287548;700;NULL
287548;700;NULL
327566;700;NULL
327566;700;NULL
327593;294;0
327593;294;0
352807;0;700
352807;0;700
353697;0;700
370577;500;0
372155;0;0
372192;300;0
405606;0;500
406972;294;258.72
285039;450;NULL
304445;0;NULL
390662;0;450
285294;400;NULL
287551;450;NULL
381286;0;500
343065;700;700
292548;450;445
287672;700;NULL
369258;300;220
380196;170;0
383421;0;250
383421;0;250
287696;450;NULL
287731;345;NULL
375363;345;250
375363;345;250
375369;0;250
375369;0;250
287738;420;NULL
287773;830;NULL
293902;350;300
302772;500;0
305244;0;NULL
305244;0;NULL
337144;378;378
348444;0;300
359018;0;485
287851;370;NULL
292857;500;450
292857;500;450
348228;0;450
348228;0;450
279943;780;350
287857;715;NULL
288877;0;730
359806;0;700
342901;738;738
363108;0;700
363108;0;700
293810;1340;0
293810;1340;0
289590;264;NULL
289590;264;NULL
327601;260;0
376129;0;0
376129;0;0
288031;700;NULL
288031;700;NULL
302529;650;0
302529;650;0
356602;0;650
287922;400;NULL
288016;450;NULL
296680;0;400
383411;0;450
335623;702;702
360568;570;0
360568;570;0
360579;570;0
360579;570;0
293226;539;486
287762;600;NULL
340231;600;600
287774;533;NULL
287664;400;NULL
299121;450;NULL
318461;450;0
382541;450;0
288226;0;309
288226;0;309
288226;0;309
288226;0;309
340243;240;240
340243;240;240
340243;240;240
287542;350;NULL
294682;672;NULL
294630;249;NULL
294630;249;NULL
336483;249;249
287562;337;NULL
289884;350;0
290464;350;0
294330;350;NULL
300873;338;280
301588;350;350
328545;350;350
333051;350;250
336633;337;337
339902;337;0
339953;343;343
340245;0;0
343197;343;343
333081;380;0
287420;346;NULL
288317;550;0
